feature,missing_count,missing_percent
PIB,2410,99.17695473251028
PIB_bl,2410,99.17695473251028
FBB,2084,85.76131687242798
FBB_bl,2084,85.76131687242798
DIGITSCOR_bl,1616,66.50205761316873
DIGITSCOR,1616,66.50205761316873
AV45,1297,53.37448559670782
AV45_bl,1297,53.37448559670782
PTAU,1215,50.0
TAU,1215,50.0
ABETA,1215,50.0
ABETA_bl,1215,50.0
TAU_bl,1215,50.0
PTAU_bl,1215,50.0
EcogSPOrgan_bl,919,37.818930041152264
EcogSPOrgan,919,37.818930041152264
FDG,915,37.65432098765432
FDG_bl,915,37.65432098765432
EcogSPDivatt,882,36.2962962962963
EcogSPDivatt_bl,882,36.2962962962963
EcogSPVisspat,878,36.13168724279836
EcogSPVisspat_bl,878,36.13168724279836
EcogPtOrgan,866,35.63786008230453
EcogPtOrgan_bl,866,35.63786008230453
EcogSPPlan,865,35.59670781893004
EcogSPPlan_bl,865,35.59670781893004
FLDSTRENG_bl,861,35.4320987654321
FLDSTRENG,861,35.4320987654321
MOCA_bl,857,35.267489711934154
MOCA,857,35.267489711934154
EcogSPTotal_bl,854,35.1440329218107
EcogSPTotal,854,35.1440329218107
EcogSPMem_bl,854,35.1440329218107
EcogSPMem,854,35.1440329218107
EcogSPLang_bl,852,35.06172839506173
EcogSPLang,852,35.06172839506173
EcogPtVisspat,843,34.69135802469136
EcogPtVisspat_bl,843,34.69135802469136
EcogPtDivatt_bl,841,34.609053497942384
EcogPtDivatt,841,34.609053497942384
EcogPtLang,834,34.32098765432099
EcogPtMem,834,34.32098765432099
EcogPtMem_bl,834,34.32098765432099
EcogPtLang_bl,834,34.32098765432099
EcogPtPlan,833,34.2798353909465
EcogPtPlan_bl,833,34.2798353909465
EcogPtTotal_bl,832,34.23868312757202
EcogPtTotal,832,34.23868312757202
MidTemp,378,15.555555555555555
MidTemp_bl,378,15.555555555555555
Entorhinal,378,15.555555555555555
Fusiform_bl,378,15.555555555555555
Entorhinal_bl,378,15.555555555555555
Fusiform,378,15.555555555555555
Hippocampus_bl,349,14.362139917695472
Hippocampus,349,14.362139917695472
APOE4,217,8.930041152263374
Ventricles,178,7.325102880658436
Ventricles_bl,178,7.325102880658436
WholeBrain,138,5.679012345679013
WholeBrain_bl,138,5.679012345679013
ICV_bl,92,3.786008230452675
ICV,92,3.786008230452675
FSVERSION,90,3.7037037037037037
FSVERSION_bl,90,3.7037037037037037
IMAGEUID,90,3.7037037037037037
IMAGEUID_bl,90,3.7037037037037037
TRABSCOR,61,2.5102880658436213
TRABSCOR_bl,61,2.5102880658436213
FAQ,31,1.2757201646090535
FAQ_bl,31,1.2757201646090535
ADAS13_bl,25,1.02880658436214
ADAS13,25,1.02880658436214
DX,21,0.8641975308641975
RAVLT_perc_forgetting_bl,17,0.6995884773662552
RAVLT_perc_forgetting,17,0.6995884773662552
ADAS11,13,0.5349794238683128
ADAS11_bl,13,0.5349794238683128
RAVLT_forgetting,12,0.49382716049382713
RAVLT_forgetting_bl,12,0.49382716049382713
RAVLT_learning,11,0.45267489711934156
DX_bl,11,0.45267489711934156
RAVLT_immediate,11,0.45267489711934156
RAVLT_learning_bl,11,0.45267489711934156
RAVLT_immediate_bl,11,0.45267489711934156
ADASQ4,7,0.2880658436213992
ADASQ4_bl,7,0.2880658436213992
LDELTOTAL,4,0.1646090534979424
LDELTOTAL_BL,4,0.1646090534979424
AGE,4,0.1646090534979424
mPACCtrailsB_bl,3,0.12345679012345678
mPACCdigit,3,0.12345679012345678
mPACCtrailsB,3,0.12345679012345678
mPACCdigit_bl,3,0.12345679012345678
PTMARRY,1,0.0411522633744856
MMSE_bl,1,0.0411522633744856
MMSE,1,0.0411522633744856
Month,0,0.0
Years_bl,0,0.0
M,0,0.0
Month_bl,0,0.0
RID,0,0.0
CDRSB_bl,0,0.0
EXAMDATE_bl,0,0.0
COLPROT,0,0.0
CDRSB,0,0.0
PTRACCAT,0,0.0
PTETHCAT,0,0.0
PTEDUCAT,0,0.0
PTGENDER,0,0.0
EXAMDATE,0,0.0
VISCODE,0,0.0
SITE,0,0.0
PTID,0,0.0
ORIGPROT,0,0.0
update_stamp,0,0.0
