,count,mean,std,min,25%,50%,75%,max
RID,2430.0,3727.081893004115,2421.329437145605,2.0,1067.0,4405.5,6143.75,7125.0
SITE,2430.0,87.5880658436214,142.58710389066798,2.0,22.0,52.0,126.0,941.0
AGE,2426.0,72.9025144270404,7.378708703334056,50.4,67.9,72.9,78.1,91.4
PTEDUCAT,2430.0,16.05061728395062,2.730579019970647,4.0,14.0,16.0,18.0,20.0
APOE4,2213.0,0.5535472209670131,0.6618323017364702,0.0,0.0,0.0,1.0,2.0
FDG,1515.0,1.198507001320132,0.16184800200192725,0.621933,1.09805,1.20498,1.31014,1.77617
PIB,20.0,1.6983749999999997,0.3723019386904017,1.155,1.3618750000000002,1.74375,1.9562499999999998,2.2825
AV45,1133.0,1.208541571050309,0.23192923804334603,0.81,1.0182,1.1265,1.3892,2.0101
FBB,346.0,1.1641488439306358,0.23664793200722736,0.8702,0.9948,1.04975,1.32325,1.909
CDRSB,2430.0,1.463374485596708,1.772257775893492,0.0,0.0,1.0,2.0,10.0
ADAS11,2417.0,10.09829954489036,6.532457953699988,0.0,5.33,8.67,13.33,42.67
ADAS13,2405.0,15.830316008316009,9.529400603229774,0.0,8.67,14.0,21.67,54.67
ADASQ4,2423.0,4.977300866694181,2.9550549803861426,0.0,3.0,5.0,7.0,10.0
MMSE,2429.0,27.3808151502676,2.6514074147975055,16.0,26.0,28.0,29.0,30.0
RAVLT_immediate,2419.0,36.67176519222819,12.776266859154893,0.0,27.0,36.0,46.0,71.0
RAVLT_learning,2419.0,4.46796196775527,2.77694834712899,-4.0,2.0,4.0,7.0,12.0
RAVLT_forgetting,2418.0,4.295698924731183,2.608630790329548,-19.0,3.0,4.0,6.0,15.0
RAVLT_perc_forgetting,2413.0,55.64543251968504,35.61874120191676,-316.66700000000003,26.6667,55.5556,100.0,100.0
LDELTOTAL,2426.0,7.7881286067600985,5.407558593278685,0.0,3.0,8.0,12.0,23.0
DIGITSCOR,814.0,37.03439803439804,13.148271525266596,0.0,29.0,38.0,45.0,80.0
TRABSCOR,2369.0,115.1169269734065,72.65037588497526,0.0,65.0,90.0,133.0,300.0
FAQ,2399.0,3.7849103793247187,6.047180835861133,0.0,0.0,1.0,5.0,30.0
MOCA,1573.0,23.52511125238398,4.262704264880309,4.0,21.0,24.0,27.0,30.0
EcogPtMem,1596.0,2.0415786528822055,0.725491170740518,1.0,1.5,1.875,2.5,4.0
EcogPtLang,1596.0,1.6968295488721807,0.6359952253251676,1.0,1.22222,1.55556,2.11111,4.0
EcogPtVisspat,1587.0,1.3718773787019531,0.5417046427328456,1.0,1.0,1.14286,1.5,4.0
EcogPtPlan,1597.0,1.3875495742016282,0.5515480689791967,1.0,1.0,1.2,1.6,4.0
EcogPtOrgan,1564.0,1.4878838235294116,0.6168309522123969,1.0,1.0,1.25,1.66667,4.0
EcogPtDivatt,1589.0,1.7798930207677786,0.7504358205670313,1.0,1.25,1.5,2.25,4.0
EcogPtTotal,1598.0,1.6512552816020023,0.5452248267192377,1.0,1.23684,1.50641,1.8974400000000002,3.8529400000000003
EcogSPMem,1576.0,1.9789128553299493,0.9173734103748735,1.0,1.25,1.625,2.625,4.0
EcogSPLang,1578.0,1.5572816920152093,0.7182379266225436,1.0,1.0,1.22222,1.77778,4.0
EcogSPVisspat,1552.0,1.4256643298969074,0.6828788313668,1.0,1.0,1.14286,1.5714299999999999,4.0
EcogSPPlan,1565.0,1.514877520766773,0.7585879788164632,1.0,1.0,1.2,1.8,4.0
EcogSPOrgan,1511.0,1.5892125612177368,0.8318493128815948,1.0,1.0,1.16667,2.0,4.0
EcogSPDivatt,1548.0,1.7809539018087854,0.9069444340030557,1.0,1.0,1.5,2.25,4.0
EcogSPTotal,1576.0,1.649532404822335,0.721366917308322,1.0,1.08333,1.35897,2.0,3.94872
IMAGEUID,2340.0,438066.7863247863,433562.5514655239,32003.0,118726.5,274668.0,879554.75,1633742.0
Ventricles,2252.0,39248.01318827708,22281.035471673993,5650.0,23101.375,33661.5,50104.5,157713.0
Hippocampus,2081.0,6929.921912542047,1175.2219582300818,2991.0,6133.5,7040.1,7728.0,10769.0
WholeBrain,2292.0,1027574.2853403141,112049.51653476682,521287.0,948571.0,1022590.0,1104200.0,1486040.0
Entorhinal,2052.0,3633.7183235867446,822.391479814032,1106.0,3100.0,3668.5,4178.5,6273.0
Fusiform,2052.0,17642.933235867447,2758.144812612184,8991.0,15841.5,17605.5,19504.75,29950.0
MidTemp,2052.0,19811.02485380117,3130.729773634329,9375.0,17773.75,19758.5,21878.25,32324.0
ICV,2338.0,1515640.625320787,175864.28307646269,882242.0,1394410.0,1501970.0,1622095.0,3315210.0
mPACCdigit,2427.0,-5.423048052330861,6.234536657575836,-23.6034,-9.90928,-4.1903,-0.47047400000000006,6.30031
mPACCtrailsB,2427.0,-5.05041234873012,5.908608852001693,-23.6034,-9.292975,-3.6742199999999996,-0.3944895,7.426880000000001
CDRSB_bl,2430.0,1.463374485596708,1.772257775893492,0.0,0.0,1.0,2.0,10.0
ADAS11_bl,2417.0,10.09829954489036,6.532457953699988,0.0,5.33,8.67,13.33,42.67
ADAS13_bl,2405.0,15.830316008316009,9.529400603229774,0.0,8.67,14.0,21.67,54.67
